id;name;lastname;email;grade
15331;Sandy;Schumm;emard.queen@example.org;25
16523;Ruthe;Thompson;alda.ruecker@example.com;49
86057;Darby;Altenwerth;eriberto.ortiz@example.org;7
87931;Donavon;Pagac;jmann@example.com;22
12287;Sofia;Wehner;hbarton@example.com;7
24655;Felicia;Stoltenberg;olakin@example.com;14
98598;Lexie;Brakus;xernser@example.org;50
78321;Laura;Spinka;dubuque.charlie@example.ne;85
55030;Eugenia;Cartwright;kertzmann.ned@example.com;23
43687;Taylor;Grady;goldner.ella@example.net;87
54517;Pattie;Spinka;mrosenbaum@example.net;32
38579;Mireille;Homenick;walker.ella@example.net;26
66554;Pauline;Tromp;hilll.mossie@example.net;13
96556;Kyler;Shields;roscoe.rowe@example.com;83
51588;Isobel;Bergnaum;christian90@example.net;84
8387;Elisha;Schaden;yreilly@example.com;52
